game_id,name,platform_name,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
131800,Call of Duty: Warzone,Xbox One,27,NULL,85.2000,7,73.5793,97
24881,Kingdom: New Lands,Linux,30,NULL,75.0000,2,74.7787,67
24881,Kingdom: New Lands,PC (Microsoft Windows),30,NULL,75.0000,2,74.7787,67
24881,Kingdom: New Lands,Mac,30,NULL,75.0000,2,74.7787,67
24881,Kingdom: New Lands,iOS,30,NULL,75.0000,2,74.7787,67
24881,Kingdom: New Lands,PlayStation 4,30,NULL,75.0000,2,74.7787,67
24881,Kingdom: New Lands,Xbox One,30,NULL,75.0000,2,74.7787,67
24881,Kingdom: New Lands,Nintendo Switch,30,NULL,75.0000,2,74.7787,67
7121,Ninja Blade,PC (Microsoft Windows),12,NULL,58.0000,6,69.6611,34
243611,Mir Korabley,PC (Microsoft Windows),2,NULL,NULL,NULL,82.5000,12
22754,Assassin's Creed: Ezio Trilogy,PC (Microsoft Windows),6,NULL,NULL,NULL,89.9231,15
2588,Wing Commander III: Heart of the Tiger,PC (Microsoft Windows),8,NULL,NULL,NULL,80.1504,21
2588,Wing Commander III: Heart of the Tiger,Mac,8,NULL,NULL,NULL,80.1504,21
58295,Mekorama,Android,1,1,NULL,NULL,79.4338,11
58295,Mekorama,iOS,1,1,NULL,NULL,79.4338,11
58295,Mekorama,PlayStation 4,1,1,NULL,NULL,79.4338,11
58295,Mekorama,Xbox One,1,1,NULL,NULL,79.4338,11
58295,Mekorama,Nintendo Switch,1,1,NULL,NULL,79.4338,11
2538,Enslaved: Odyssey to the West,PC (Microsoft Windows),68,NULL,82.4444,13,80.4520,178
8114,Jazzpunk,Linux,12,NULL,82.7500,8,74.3752,55
8114,Jazzpunk,PC (Microsoft Windows),12,NULL,82.7500,8,74.3752,55
8114,Jazzpunk,Mac,12,NULL,82.7500,8,74.3752,55
8114,Jazzpunk,PlayStation 4,12,NULL,82.7500,8,74.3752,55
37141,That's You!,PlayStation 4,6,NULL,69.2500,5,76.2547,18
6026,Samurai Shodown V,PC (Microsoft Windows),1,NULL,57.0000,2,70.3746,12
20868,Duke Nukem 3D: Megaton Edition,Linux,3,NULL,71.6667,3,73.8514,17
20868,Duke Nukem 3D: Megaton Edition,PC (Microsoft Windows),3,NULL,71.6667,3,73.8514,17
20868,Duke Nukem 3D: Megaton Edition,Mac,3,NULL,71.6667,3,73.8514,17
216,Neverwinter Nights,Linux,67,NULL,74.0000,2,81.8652,187
216,Neverwinter Nights,PC (Microsoft Windows),67,NULL,74.0000,2,81.8652,187
216,Neverwinter Nights,Mac,67,NULL,74.0000,2,81.8652,187
8177,Microsoft Solitaire,PC (Microsoft Windows),8,NULL,NULL,NULL,77.0185,45
7099,Naruto Shippuden: Ultimate Ninja Storm 3,PC (Microsoft Windows),21,NULL,77.1429,7,75.0561,96
27082,Raft,PC (Microsoft Windows),26,2,80.0000,2,76.1522,70
41496,Kingdom Rush Origins,Linux,NULL,NULL,70.0000,1,71.0351,15
41496,Kingdom Rush Origins,PC (Microsoft Windows),NULL,NULL,70.0000,1,71.0351,15
41496,Kingdom Rush Origins,Mac,NULL,NULL,70.0000,1,71.0351,15
