game_id,name,platform_name,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
7601,Plague Inc: Evolved,Nintendo Switch,39,2,80.0000,3,78.4038,115
8972,Football Manager 2009,PC (Microsoft Windows),6,NULL,80.0000,3,79.1763,18
8972,Football Manager 2009,Mac,6,NULL,80.0000,3,79.1763,18
636,Clive Barker's Undying,PC (Microsoft Windows),27,NULL,NULL,NULL,82.5811,62
636,Clive Barker's Undying,Mac,27,NULL,NULL,NULL,82.5811,62
25935,The Artful Escape,PC (Microsoft Windows),4,9,83.3333,8,82.6546,40
25935,The Artful Escape,PlayStation 4,4,9,83.3333,8,82.6546,40
25935,The Artful Escape,Xbox One,4,9,83.3333,8,82.6546,40
25935,The Artful Escape,Nintendo Switch,4,9,83.3333,8,82.6546,40
25935,The Artful Escape,PlayStation 5,4,9,83.3333,8,82.6546,40
7857,Hatred,Linux,14,2,43.3333,4,49.7569,44
7857,Hatred,PC (Microsoft Windows),14,2,43.3333,4,49.7569,44
76217,Doom,Nintendo Switch,6,NULL,77.1429,8,79.3666,48
41,Deus Ex,PC (Microsoft Windows),299,NULL,90.5000,3,87.0085,701
41,Deus Ex,Mac,299,NULL,90.5000,3,87.0085,701
215,Warhammer Online: Age of Reckoning,PC (Microsoft Windows),3,NULL,89.5000,4,75.5918,18
215,Warhammer Online: Age of Reckoning,Mac,3,NULL,89.5000,4,75.5918,18
1064,The Secret World,PC (Microsoft Windows),11,NULL,72.1429,9,74.8644,18
5261,WALL-E,PC (Microsoft Windows),3,NULL,61.4286,8,56.0034,20
5261,WALL-E,Mac,3,NULL,61.4286,8,56.0034,20
915,Tony Hawk's Pro Skater 4,PC (Microsoft Windows),41,NULL,76.0000,3,79.5884,142
